libraryId	experimentId	speciesId
SRX1812328	SRP075939	9913
SRX1812329	SRP075939	9913
SRX1812330	SRP075939	9913
SRX1812331	SRP075939	9913
SRX1812332	SRP075939	9913
SRX1812333	SRP075939	9913
SRX1812334	SRP075939	9913
SRX1812335	SRP075939	9913
SRX1812336	SRP075939	9913
SRX1812337	SRP075939	9913
SRX1812338	SRP075939	9913
SRX1812339	SRP075939	9913
SRX1812340	SRP075939	9913
SRX1812341	SRP075939	9913
SRX1812342	SRP075939	9913
SRX1812343	SRP075939	9913
SRX1812345	SRP075939	9913
SRX1812346	SRP075939	9913
SRX1812347	SRP075939	9913
SRX1812348	SRP075939	9913
SRX1812349	SRP075939	9913
SRX1812350	SRP075939	9913
SRX1812351	SRP075939	9913
SRX1812352	SRP075939	9913
SRX1812353	SRP075939	9913
SRX1812354	SRP075939	9913
SRX1812355	SRP075939	9913
SRX1812356	SRP075939	9913
SRX1812358	SRP075939	9913
SRX1812359	SRP075939	9913
SRX1812360	SRP075939	9913
SRX1812361	SRP075939	9913
SRX1812362	SRP075939	9913
SRX1812364	SRP075939	9913
SRX1812365	SRP075939	9913
SRX1812366	SRP075939	9913
SRX1812368	SRP075939	9913
SRX1812369	SRP075939	9913
SRX1812370	SRP075939	9913
SRX1812372	SRP075939	9913
SRX1812373	SRP075939	9913
SRX1812374	SRP075939	9913
SRX1812375	SRP075939	9913
SRX1812376	SRP075939	9913
SRX1812377	SRP075939	9913
SRX1812378	SRP075939	9913
SRX1812379	SRP075939	9913
SRX1812380	SRP075939	9913
SRX1812382	SRP075939	9913
SRX1812383	SRP075939	9913
SRX1812384	SRP075939	9913
SRX1812385	SRP075939	9913
SRX1812386	SRP075939	9913
SRX1812387	SRP075939	9913
SRX1812389	SRP075939	9913
SRX1812390	SRP075939	9913
SRX1812391	SRP075939	9913
SRX1812392	SRP075939	9913
SRX1812393	SRP075939	9913
SRX1812394	SRP075939	9913
SRX1812395	SRP075939	9913
SRX1812396	SRP075939	9913
SRX1812398	SRP075939	9913
SRX1812399	SRP075939	9913
SRX1812400	SRP075939	9913
SRX1812401	SRP075939	9913
SRX1812402	SRP075939	9913
SRX1812403	SRP075939	9913
SRX1812404	SRP075939	9913
SRX1812405	SRP075939	9913
SRX1812406	SRP075939	9913
SRX1812408	SRP075939	9913
SRX1812409	SRP075939	9913
SRX1812410	SRP075939	9913
SRX1812411	SRP075939	9913
SRX1812412	SRP075939	9913
SRX1812413	SRP075939	9913
SRX1812414	SRP075939	9913
SRX1812415	SRP075939	9913
SRX1812416	SRP075939	9913
SRX1812417	SRP075939	9913
SRX1812419	SRP075939	9913
SRX1812420	SRP075939	9913
SRX1812421	SRP075939	9913
SRX1812422	SRP075939	9913
SRX1812423	SRP075939	9913
SRX1812424	SRP075939	9913
SRX1812425	SRP075939	9913
SRX1812426	SRP075939	9913
SRX1812428	SRP075939	9913
SRX1812429	SRP075939	9913
SRX1812430	SRP075939	9913
SRX1812431	SRP075939	9913
SRX1812432	SRP075939	9913
SRX1812433	SRP075939	9913
SRX1812434	SRP075939	9913
SRX1812435	SRP075939	9913
SRX1812436	SRP075939	9913
SRX1812437	SRP075939	9913
SRX1812439	SRP075939	9913
SRX1812440	SRP075939	9913
SRX1812441	SRP075939	9913
SRX1812442	SRP075939	9913
SRX1812443	SRP075939	9913
SRX1812444	SRP075939	9913
SRX1812445	SRP075939	9913
SRX1812446	SRP075939	9913
SRX1812447	SRP075939	9913
SRX1812448	SRP075939	9913
SRX1812449	SRP075939	9913
SRX1812451	SRP075939	9913
SRX1812452	SRP075939	9913
SRX1812453	SRP075939	9913
SRX1812454	SRP075939	9913
SRX1812455	SRP075939	9913
SRX1812456	SRP075939	9913
SRX1812457	SRP075939	9913
SRX1812458	SRP075939	9913
SRX1812459	SRP075939	9913
SRX1812461	SRP075939	9913
SRX1812462	SRP075939	9913
SRX1812463	SRP075939	9913
SRX1812464	SRP075939	9913
SRX1812465	SRP075939	9913
SRX1812466	SRP075939	9913
SRX1812467	SRP075939	9913
SRX1812468	SRP075939	9913
SRX1812469	SRP075939	9913
SRX1812470	SRP075939	9913
SRX1812471	SRP075939	9913
SRX1812473	SRP075939	9913
SRX1812474	SRP075939	9913
SRX1812475	SRP075939	9913
SRX1812476	SRP075939	9913
SRX1812477	SRP075939	9913
SRX1812478	SRP075939	9913
SRX1812479	SRP075939	9913
SRX1812480	SRP075939	9913
SRX1812481	SRP075939	9913
SRX1812482	SRP075939	9913
SRX1812484	SRP075939	9913
SRX1812485	SRP075939	9913
SRX1812486	SRP075939	9913
SRX1812487	SRP075939	9913
SRX1812488	SRP075939	9913
SRX1812489	SRP075939	9913
SRX1812490	SRP075939	9913
SRX1812491	SRP075939	9913
SRX1812493	SRP075939	9913
SRX1812494	SRP075939	9913
SRX1812495	SRP075939	9913
SRX1812496	SRP075939	9913
