libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX5544032	0.239775	53.7536689997742	19046	35432	73.1832708072808	15801	21591	4.52589915677164	789	17433	0.05	0.0384852240189529	3.04093360787295	9544
SRX5544033	0.295373	53.4206367125762	18928	35432	72.4329581770182	15639	21591	4.36528423105604	761	17433	0.05	0.0453948200348928	3.12199681714097	9544
SRX5544034	0.247174	53.6661774666968	19015	35432	73.0674818211292	15776	21591	4.43411919921987	773	17433	0.05	0.0391860274264871	3.06249955525207	9544
SRX5544035	0.331834	54.0330774441183	19145	35432	71.3676995044231	15409	21591	3.9063844432972	681	17433	0.05	0.0546171257198968	2.99494070706556	9544
SRX5544036	0.215265	53.7423797696997	19042	35432	73.1415867722662	15792	21591	4.61767911432341	805	17433	0.05	0.0337055211193934	3.08699568320765	9544
SRX5544037	0.193059	52.983179047189	18773	35432	73.3546385067852	15838	21591	4.35954798370906	760	17433	0.05	0.0300439662927272	3.09814740768861	9544
SRX5544038	0.22853	53.7423797696997	19042	35432	72.8961141216247	15739	21591	4.2620317788103	743	17433	0.05	0.0349358083997913	3.13239773130113	9544
SRX5544039	0.191595	52.7545721381802	18692	35432	72.845166967718	15728	21591	4.382492973097	764	17433	0.05	0.0280305754959679	3.21726734193356	9544
SRX5544040	0.197581	52.0631067961165	18447	35432	72.4236950581261	15637	21591	4.29071301554523	748	17433	0.05	0.0297504488590187	3.16028900247127	9544
SRX5544041	0.178409	53.3275005644615	18895	35432	73.4333750173683	15855	21591	4.25629553146332	742	17433	0.05	0.0279209742317792	3.08754102002273	9544
SRX5544042	0.260603	54.1826597426056	19198	35432	73.618637395211	15895	21591	4.22761429472839	737	17433	0.05	0.0389048533433586	3.1779635079002	9544
SRX5544043	0.140715	51.3067283811244	18179	35432	72.9239034783011	15745	21591	4.3423392416681	757	17433	0.05	0.0195887496409251	3.31573330907807	9544
SRX5544044	0.2651367	52.1393090991194	18474	35432	72.0485387429948	15556	21591	3.87196695921528	675	17433	0.05	0.0413844332494559	3.09294156403771	9544
SRX5544045	0.1450364	52.4554075412057	18586	35432	73.0304293455606	15768	21591	4.35381173636207	759	17433	0.05	0.0223880532152938	3.11402571182599	9544
SRX5544046	0.179282	54.5382704899526	19324	35432	75.1933676068732	16235	21591	4.19893305799346	732	17433	0.05	0.0267897541035577	3.17613101424952	9544
SRX5544047	0.137874	53.8976066832242	19097	35432	75.1563151313047	16227	21591	4.38822922044399	765	17433	0.05	0.0208916153878971	3.14937560985452	9544
SRX5544048	0.103889	51.5494468277264	18265	35432	72.7247464221203	15702	21591	4.45706418860781	777	17433	0.05	0.0151705901971132	3.21940384248031	9544
SRX5544049	0.24910745	50.4374576653872	17871	35432	69.9272845166968	15098	21591	4.60620661962944	803	17433	0.05	0.0338870637629675	3.36280187344216	9544
SRX5544050	0.26516	50.9849853240009	18065	35432	70.510861006901	15224	21591	4.45132794126083	776	17433	0.05	0.0389199338797606	3.21079507042367	9544
SRX5544051	0.367894	53.1976744186046	18849	35432	71.9836969107499	15542	21591	4.23335054207537	738	17433	0.05	0.0594143340230167	3.02917318361797	9544
SRX5544052	0.28279	53.3105667193497	18889	35432	72.7803251354731	15714	21591	4.32513049962714	754	17433	0.05	0.0441140545621993	3.09411095604749	9544
SRX5544053	0.296698	53.1440505757507	18830	35432	72.2662220369598	15603	21591	4.48574542534274	782	17433	0.05	0.0465656694461297	3.08135983772025	9544
SRX5544054	0.257874	53.5363513208399	18969	35432	73.1137974155898	15786	21591	4.53163540411863	790	17433	0.05	0.040781448079368	3.06845703056018	9544
SRX5544055	0.245274	53.8665613005193	19086	35432	73.2110601639572	15807	21591	4.13583433717662	721	17433	0.05	0.0391151125745344	3.05226828866359	9544
SRX5544056	0.255708	51.5635583653195	18270	35432	71.5529618822658	15449	21591	3.89491194860322	679	17433	0.05	0.0408012105888086	3.05004679905061	9544
SRX5544057	0.213569	53.527884398284	18966	35432	73.0952711778056	15782	21591	4.34807548901509	758	17433	0.05	0.0328600316538037	3.1194982435838	9544
SRX5544058	0.2357482	54.9644389252653	19475	35432	74.8506322078644	16161	21591	4.08420811105375	712	17433	0.05	0.0372973714219609	3.06762178277061	9544
SRX5544059	0.265469	53.7367351546625	19040	35432	72.6784308276597	15692	21591	4.29644926289222	749	17433	0.05	0.0426908415484674	3.03741357189814	9544
SRX5544060	0.28546	54.0358997516369	19146	35432	72.9748506322079	15756	21591	4.55458039350657	794	17433	0.05	0.0467920116992918	3.00229461194923	9544
SRX5544061	0.292605	52.9662452020772	18767	35432	71.9790653513038	15541	21591	4.39396546779097	766	17433	0.05	0.0446789150588732	3.13445057007675	9544
SRX5544062	0.222101	52.1308421765636	18471	35432	72.2708535964059	15604	21591	4.61194286697642	804	17433	0.05	0.0326933453020708	3.20532931158558	9544
SRX5544063	0.198367	52.1844660194175	18490	35432	72.4607475336946	15645	21591	4.61767911432341	805	17433	0.05	0.0294131705400241	3.19117779795045	9544
SRX5544064	0.192318	52.3425152404606	18546	35432	72.8081144921495	15720	21591	4.60620661962944	803	17433	0.05	0.0295655496769105	3.12183604263631	9544
SRX5544065	0.244299	52.0574621810793	18445	35432	72.0531703024408	15557	21591	4.54884414615958	793	17433	0.05	0.0379442645504933	3.09977484516534	9544
SRX5544066	0.163165	53.0480921201174	18796	35432	73.0396924644528	15770	21591	4.69798657718121	819	17433	0.05	0.0244996095691701	3.16654199958331	9544
SRX5544067	0.22378	52.483630616392	18596	35432	72.7432726599046	15706	21591	4.4628004359548	778	17433	0.05	0.0356897815072417	3.05215986789302	9544
SRX5544068	0.171927	52.2324452472341	18507	35432	72.9331665971933	15747	21591	4.62915160901738	807	17433	0.05	0.0267209150665426	3.09920367243676	9544
SRX5544069	0.132827	50.9934522465568	18068	35432	72.1735908480385	15583	21591	4.3423392416681	757	17433	0.05	0.0206935436532071	3.0966240544119	9544
SRX5544070	0.175615	51.9727929555204	18415	35432	72.4607475336946	15645	21591	4.61767911432341	805	17433	0.05	0.0276881189868766	3.07384956904263	9544
SRX5544071	0.138933	51.3942199142019	18210	35432	72.8081144921495	15720	21591	4.45132794126083	776	17433	0.05	0.0213971667474061	3.11820225652518	9544
SRX5544072	0.165765	51.7836983517724	18348	35432	72.5487471631698	15664	21591	4.33086674697413	755	17433	0.05	0.0257797792063196	3.09863533901756	9544
SRX5544073	0.149058	51.7667645066606	18342	35432	72.3356954286508	15618	21591	4.31365800493317	752	17433	0.05	0.0229723459240992	3.11510400302749	9544
SRX5544074	0.210911	51.8994129600361	18389	35432	72.4144319392339	15635	21591	4.51442666207767	787	17433	0.05	0.0328436596373516	3.09740052127142	9544
SRX5544075	0.155916	52.6162790697674	18643	35432	74.0632671020333	15991	21591	4.06126312166581	708	17433	0.05	0.0233293689780692	3.17003255741146	9544
SRX5544076	0.110294	52.2719575524949	18521	35432	73.8780047241906	15951	21591	4.20466930534045	733	17433	0.05	0.016367901660494	3.18934836494086	9544
SRX5544077	0.126933	53.5532851659517	18975	35432	75.1007364179519	16215	21591	4.28497676819824	747	17433	0.05	0.0193471087884598	3.13811996814694	9544
SRX5544078	0.174187	53.9088959132987	19101	35432	74.2207401231995	16025	21591	4.70372282452819	820	17433	0.05	0.02662172437462	3.13296128123653	9544
SRX5544079	0.25367	52.1139083314518	18465	35432	71.4556991338984	15428	21591	4.43985544656686	774	17433	0.05	0.0366604164884812	3.24122833049559	9544
SRX5544080	0.170614	52.5485436893204	18619	35432	73.26663887731	15819	21591	4.56031664085355	795	17433	0.05	0.0261790741763188	3.1253686066488	9544
SRX5544081	0.21475	52.1449537141567	18476	35432	71.923486637951	15529	21591	4.41691045717891	770	17433	0.05	0.0312422543008162	3.2266280197172	9544
SRX5544082	0.198867	52.861819823888	18730	35432	72.9377981566393	15748	21591	4.38822922044399	765	17433	0.05	0.0295140423002909	3.18931606297518	9544
SRX5544083	0.303254	55.4188304357643	19636	35432	74.4106340604882	16066	21591	3.94080192737911	687	17433	0.05	0.0488380332362381	3.03289316177383	9544
SRX5544084	0.164895	53.1750959584556	18841	35432	73.2620073178639	15818	21591	4.82992026616188	842	17433	0.05	0.0254959821042555	3.11032680419578	9544
SRX5544085	0.160819	52.2832467825694	18525	35432	73.0721133805752	15777	21591	4.57178913554753	797	17433	0.05	0.0243574152132974	3.14945301646887	9544
SRX5544086	0.183448	52.9436667419282	18759	35432	73.0813764994674	15779	21591	4.64636035105834	810	17433	0.05	0.0283780274326999	3.11001872627487	9544
SRX5544087	0.168015	53.0142244298939	18784	35432	73.2897966745403	15824	21591	4.82418401881489	841	17433	0.05	0.0244174099784456	3.23010211162623	9544
