libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
SRX1483023	5374611	76	76	4569216	120188	85	2.2	37267	Tue Feb  6 16:58:35 2024	0.46.0
SRX1483024	881034	76	76	552998	136784	62.8	15.5	37267	Tue Feb  6 16:59:08 2024	0.46.0
SRX1483025	5114755	76	76	4651679	219052	90.9	4.3	37267	Tue Feb  6 16:59:25 2024	0.46.0
SRX1483026	5200179	76	76	4868540	238835	93.6	4.6	37267	Tue Feb  6 16:59:57 2024	0.46.0
SRX1483027	1321348	76	76	965028	172092	73	13	37267	Tue Feb  6 17:00:28 2024	0.46.0
SRX1483028	747356	76	76	481158	77636	64.4	10.4	37267	Tue Feb  6 17:00:47 2024	0.46.0
SRX1483029	1552635	76	76	897545	178594	57.8	11.5	37267	Tue Feb  6 17:01:04 2024	0.46.0
SRX1483030	7231293	76	76	5635254	1568536	77.9	21.7	37267	Tue Feb  6 17:01:25 2024	0.46.0
SRX1483031	6860528	76	76	6384571	269218	93.1	3.9	37267	Tue Feb  6 17:02:04 2024	0.46.0
SRX1483032	6382597	76	76	5712466	278584	89.5	4.4	37267	Tue Feb  6 17:02:40 2024	0.46.0
SRX1483033	6953257	76	76	6374755	297063	91.7	4.3	37267	Tue Feb  6 17:03:16 2024	0.46.0
SRX1483034	1618299	76	76	906276	241964	56	15	37267	Tue Feb  6 17:03:53 2024	0.46.0
SRX1483035	3202880	76	76	2428603	490073	75.8	15.3	37267	Tue Feb  6 17:04:13 2024	0.46.0
SRX1483036	1219680	76	76	798404	223301	65.5	18.3	37267	Tue Feb  6 18:25:22 2024	0.46.0
SRX1483037	8528054	76	76	6992814	670387	82	7.9	37267	Tue Feb  6 18:25:43 2024	0.46.0
SRX1483038	552015	76	76	286109	61174	51.8	11.1	37267	Tue Feb  6 18:26:30 2024	0.46.0
SRX1483039	7355081	76	76	2662585	137889	36.2	1.9	37267	Tue Feb  6 18:26:44 2024	0.46.0
SRX1483040	3952849	76	76	1562594	352368	39.5	8.9	37267	Tue Feb  6 18:27:27 2024	0.46.0
SRX1483041	5809156	76	76	4540027	302791	78.2	5.2	37267	Tue Feb  6 18:28:06 2024	0.46.0
SRX1483042	7258153	76	76	6523285	563061	89.9	7.8	37267	Tue Feb  6 18:28:44 2024	0.46.0
SRX1483043	6565399	76	76	5783134	512016	88.1	7.8	37267	Tue Feb  6 18:29:26 2024	0.46.0
SRX1483044	6543747	76	76	2539056	245708	38.8	3.8	37267	Tue Feb  6 18:30:02 2024	0.46.0
SRX1483045	1891343	76	76	1337379	338559	70.7	17.9	37267	Tue Feb  6 18:30:39 2024	0.46.0
SRX1483046	2001211	76	76	1241345	328578	62	16.4	37267	Tue Feb  6 18:30:59 2024	0.46.0
SRX1483047	2728560	76	76	1980317	507207	72.6	18.6	37267	Tue Feb  6 18:31:20 2024	0.46.0
SRX1483048	3821975	76	76	1055582	234142	27.6	6.1	37267	Tue Feb  6 18:31:42 2024	0.46.0
SRX1483049	8186117	76	76	2781641	944929	34	11.5	37267	Tue Feb  6 18:32:26 2024	0.46.0
SRX2573627	14221777	76	76	11048564	3048091	77.7	21.4	37267	Tue Feb  6 18:33:30 2024	0.46.0
SRX3273314	26508281	51	51	25865183	15627763	97.6	59	37267	Sun Mar 24 16:29:49 2024	0.46.0
SRX674730	7401930	76	76	6314970	1128305	85.3	15.2	37267	Tue Feb  6 18:28:51 2024	0.46.0
