libraryId	min_read_length	max_read_length	average_read_length
SRX1482955	76.0	76.0	76.0
SRX1482956	76.0	76.0	76.0
SRX1482957	75.0	75.0	75.0
SRX1482958	76.0	76.0	76.0
SRX1482959	76.0	76.0	76.0
SRX1482960	76.0	76.0	76.0
SRX1482961	76.0	76.0	76.0
SRX1482962	76.0	76.0	76.0
SRX1482963	76.0	76.0	76.0
SRX1482964	76.0	76.0	76.0
SRX1482965	76.0	76.0	76.0
SRX1482966	76.0	76.0	76.0
SRX1482967	76.0	76.0	76.0
SRX1482968	76.0	76.0	76.0
SRX1482969	76.0	76.0	76.0
SRX1482970	76.0	76.0	76.0
SRX1482971	76.0	76.0	76.0
SRX1482972	76.0	76.0	76.0
SRX1482973	76.0	76.0	76.0
SRX1482974	76.0	76.0	76.0
SRX1482975	76.0	76.0	76.0
SRX1482976	76.0	76.0	76.0
SRX1482977	76.0	76.0	76.0
SRX1482978	76.0	76.0	76.0
SRX1482979	76.0	76.0	76.0
SRX1482980	76.0	76.0	76.0
SRX1482981	76.0	76.0	76.0
SRX1482982	76.0	76.0	76.0
SRX1482983	76.0	76.0	76.0
SRX1482984	76.0	76.0	76.0
SRX1482985	76.0	76.0	76.0
SRX1482986	76.0	76.0	76.0
SRX1482987	76.0	76.0	76.0
SRX1482988	76.0	76.0	76.0
SRX1482989	76.0	76.0	76.0
SRX1482990	76.0	76.0	76.0
SRX1482991	76.0	76.0	76.0
SRX1482992	76.0	76.0	76.0
SRX1482993	76.0	76.0	76.0
SRX1482994	76.0	76.0	76.0
SRX1482995	76.0	76.0	76.0
SRX1482996	76.0	76.0	76.0
SRX1482997	76.0	76.0	76.0
SRX1482998	76.0	76.0	76.0
SRX1482999	76.0	76.0	76.0
SRX1483000	76.0	76.0	76.0
SRX1483001	76.0	76.0	76.0
SRX1483002	76.0	76.0	76.0
SRX1483003	76.0	76.0	76.0
SRX1483004	76.0	76.0	76.0
SRX1483005	76.0	76.0	76.0
SRX1483006	76.0	76.0	76.0
SRX1483007	76.0	76.0	76.0
SRX1483008	76.0	76.0	76.0
SRX1483009	76.0	76.0	76.0
SRX1483010	76.0	76.0	76.0
SRX1483011	76.0	76.0	76.0
SRX1483012	76.0	76.0	76.0
SRX1483013	76.0	76.0	76.0
SRX1483014	76.0	76.0	76.0
SRX1483015	76.0	76.0	76.0
SRX1483016	76.0	76.0	76.0
SRX1483017	76.0	76.0	76.0
SRX1483018	76.0	76.0	76.0
SRX1483019	76.0	76.0	76.0
SRX1483020	76.0	76.0	76.0
SRX1483021	76.0	76.0	76.0
SRX1483022	76.0	76.0	76.0
SRX1483023	76.0	76.0	76.0
SRX1483024	76.0	76.0	76.0
SRX1483025	76.0	76.0	76.0
SRX1483026	76.0	76.0	76.0
SRX1483027	76.0	76.0	76.0
SRX1483028	76.0	76.0	76.0
SRX1483029	76.0	76.0	76.0
SRX1483030	76.0	76.0	76.0
SRX1483031	76.0	76.0	76.0
SRX1483032	76.0	76.0	76.0
SRX1483033	76.0	76.0	76.0
SRX1483034	76.0	76.0	76.0
SRX1483035	76.0	76.0	76.0
SRX1483036	76.0	76.0	76.0
SRX1483037	76.0	76.0	76.0
SRX1483038	76.0	76.0	76.0
SRX1483039	76.0	76.0	76.0
SRX1483040	76.0	76.0	76.0
SRX1483041	76.0	76.0	76.0
SRX1483042	76.0	76.0	76.0
SRX1483043	76.0	76.0	76.0
SRX1483044	76.0	76.0	76.0
SRX1483045	76.0	76.0	76.0
SRX1483046	76.0	76.0	76.0
SRX1483047	76.0	76.0	76.0
SRX1483048	76.0	76.0	76.0
SRX1483049	76.0	76.0	76.0
SRX157603	35.0	35.0	35.0
SRX157604	35.0	35.0	35.0
SRX1720957	75.0	75.0	75.0
SRX1720958	75.0	75.0	75.0
SRX1720959	75.0	75.0	75.0
SRX1720960	75.0	75.0	75.0
SRX246401	100.0	100.0	100.0
SRX246402	100.0	100.0	100.0
SRX246403	100.0	100.0	100.0
SRX246404	100.0	100.0	100.0
SRX246405	100.0	100.0	100.0
SRX246406	100.0	100.0	100.0
SRX246407	100.0	100.0	100.0
SRX246408	100.0	100.0	100.0
SRX246409	100.0	100.0	100.0
SRX246410	100.0	100.0	100.0
SRX246411	100.0	100.0	100.0
SRX246412	100.0	100.0	100.0
SRX246413	100.0	100.0	100.0
SRX246414	100.0	100.0	100.0
SRX246415	100.0	100.0	100.0
SRX246416	100.0	100.0	100.0
SRX246417	100.0	100.0	100.0
SRX246418	100.0	100.0	100.0
SRX246419	100.0	100.0	100.0
SRX246420	100.0	100.0	100.0
SRX246421	100.0	100.0	100.0
SRX246422	100.0	100.0	100.0
SRX246423	100.0	100.0	100.0
SRX246424	100.0	100.0	100.0
SRX2548610	101.0	101.0	101.0
SRX2548611	101.0	101.0	101.0
SRX2548612	101.0	101.0	101.0
SRX2548613	101.0	101.0	101.0
SRX2573627	76.0	76.0	76.0
SRX2731590	50.0	50.0	50.0
SRX2731591	50.0	50.0	50.0
SRX2731592	50.0	50.0	50.0
SRX2731593	50.0	50.0	50.0
SRX2731594	50.0	50.0	50.0
SRX2731595	50.0	50.0	50.0
SRX323030	35.0	35.0	35.0
SRX323031	42.0	42.0	42.0
SRX3273314	51.0	51.0	51.0
SRX331966	48.0	48.0	48.0
SRX331967	48.0	48.0	48.0
SRX4084634	25.0	50.0	49.40465
SRX4084635	26.0	50.0	49.60827
SRX4084636	25.0	50.0	48.8943
SRX4084637	26.0	50.0	49.6179
SRX493947	100.0	100.0	100.0
SRX493948	100.0	100.0	100.0
SRX493949	100.0	100.0	100.0
SRX493950	100.0	100.0	100.0
SRX493951	100.0	100.0	100.0
SRX493952	100.0	100.0	100.0
SRX493953	100.0	100.0	100.0
SRX493955	100.0	100.0	100.0
SRX493956	100.0	100.0	100.0
SRX493957	100.0	100.0	100.0
SRX493958	100.0	100.0	100.0
SRX493959	100.0	100.0	100.0
SRX493961	100.0	100.0	100.0
SRX493965	100.0	100.0	100.0
SRX493969	100.0	100.0	100.0
SRX493970	100.0	100.0	100.0
SRX493971	100.0	100.0	100.0
SRX493972	100.0	100.0	100.0
SRX493973	100.0	100.0	100.0
SRX493974	100.0	100.0	100.0
SRX493975	100.0	100.0	100.0
SRX493976	100.0	100.0	100.0
SRX493977	100.0	100.0	100.0
SRX493978	100.0	100.0	100.0
SRX493979	100.0	100.0	100.0
SRX493980	100.0	100.0	100.0
SRX493981	100.0	100.0	100.0
SRX493982	100.0	100.0	100.0
