sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMN16742931	SRP292191	SRX9479279	SRR13028321	4559524	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/021/SRR13028321/SRR13028321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/021/SRR13028321/SRR13028321_2.fastq.gz	NA
SAMN16741725	SRP292191	SRX9479310	SRR13033939	649993	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13033939/SRR13033939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13033939/SRR13033939_2.fastq.gz	NA
SAMN16741708	SRP292191	SRX9479327	SRR13033956	667241	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/056/SRR13033956/SRR13033956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/056/SRR13033956/SRR13033956_2.fastq.gz	NA
SAMN16741707	SRP292191	SRX9479328	SRR13033957	2586180	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/057/SRR13033957/SRR13033957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/057/SRR13033957/SRR13033957_2.fastq.gz	NA
SAMN16741705	SRP292191	SRX9479330	SRR13033959	1853079	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/059/SRR13033959/SRR13033959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/059/SRR13033959/SRR13033959_2.fastq.gz	NA
SAMN16743918	SRP292191	SRX9479358	SRR13032168	2407282	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/068/SRR13032168/SRR13032168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/068/SRR13032168/SRR13032168_2.fastq.gz	NA
SAMN16743529	SRP292191	SRX9479828	SRR13034669	1277399	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13034669/SRR13034669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13034669/SRR13034669_2.fastq.gz	NA
SAMN16742951	SRP292191	SRX9479867	SRR13028889	3897254	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/089/SRR13028889/SRR13028889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/089/SRR13028889/SRR13028889_2.fastq.gz	NA
SAMN16742892	SRP292191	SRX9479875	SRR13028897	3185890	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13028897/SRR13028897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13028897/SRR13028897_2.fastq.gz	NA
SAMN16742891	SRP292191	SRX9479876	SRR13028898	1099693	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/098/SRR13028898/SRR13028898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/098/SRR13028898/SRR13028898_2.fastq.gz	NA
