libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	anatId	sex	strain	readLength	genotype	organism
ERX1226768	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226769	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226770	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226771	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226772	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226773	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226774	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226775	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226776	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226777	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226778	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
