libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
SRX1788076	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788077	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788078	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788079	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788080	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788081	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788082	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788083	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788084	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788085	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788086	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
