libraryId	min_read_length	max_read_length	average_read_length
ERX1227170	125	125	125
ERX1227171	125	125	125
ERX1227172	125	125	125
ERX1227173	125	125	125
ERX1227174	125	125	125
ERX1227175	125	125	125
ERX1227176	125	125	125
ERX1227177	125	125	125
ERX1227178	125	125	125
ERX1227179	125	125	125
ERX1227180	125	125	125
ERX1227181	125	125	125
ERX1227182	125	125	125
ERX1227183	125	125	125
ERX1227184	125	125	125
ERX1227185	125	125	125
ERX1227186	125	125	125
ERX1227187	125	125	125
ERX1227188	125	125	125
ERX1227189	125	125	125
ERX1227190	125	125	125
ERX1227191	125	125	125
ERX1227192	125	125	125
ERX1227193	125	125	125
ERX1227194	125	125	125
ERX1227195	125	125	125
ERX1227196	125	125	125
ERX1227197	125	125	125
ERX1227198	125	125	125
ERX1227199	125	125	125
ERX1227200	125	125	125
ERX1227201	125	125	125
ERX1227202	125	125	125
ERX1227203	125	125	125
ERX1227204	125	125	125
ERX1227205	125	125	125
ERX1227206	125	125	125
ERX1227207	125	125	125
ERX1227208	125	125	125
ERX1227209	125	125	125
ERX1227210	125	125	125
ERX1227211	125	125	125
ERX1227212	125	125	125
ERX1227213	125	125	125
ERX1227214	125	125	125
ERX1227215	125	125	125
ERX1227216	125	125	125
ERX1227217	125	125	125
ERX1227218	125	125	125
ERX1227219	125	125	125
ERX1227220	125	125	125
ERX1227221	125	125	125
ERX1227222	125	125	125
ERX1227223	125	125	125
ERX1227224	125	125	125
ERX1227225	125	125	125
ERX1227226	125	125	125
ERX1227227	125	125	125
ERX1227228	125	125	125
ERX1227229	125	125	125
ERX1227230	125	125	125
ERX1227231	125	125	125
ERX1227232	125	125	125
ERX1227233	125	125	125
ERX1227234	125	125	125
ERX1227235	125	125	125
ERX1227236	125	125	125
ERX1227237	125	125	125
ERX1227238	125	125	125
ERX1227239	125	125	125
ERX1227240	125	125	125
ERX1227241	125	125	125
ERX1227242	125	125	125
ERX1227243	125	125	125
ERX1227244	125	125	125
ERX1227245	125	125	125
ERX1227246	125	125	125
ERX1227247	125	125	125
ERX1227248	125	125	125
ERX1227249	125	125	125
ERX1227250	125	125	125
ERX1227251	125	125	125
ERX1227252	125	125	125
ERX1227253	125	125	125
ERX1227254	125	125	125
ERX1227255	125	125	125
ERX1227256	125	125	125
ERX1227257	125	125	125
ERX1227258	125	125	125
ERX1227259	125	125	125
ERX1227260	125	125	125
ERX1227261	125	125	125
ERX1227262	125	125	125
ERX1227263	125	125	125
ERX1227264	125	125	125
ERX1227265	125	125	125
ERX1227266	125	125	125
ERX1227267	125	125	125
ERX1227268	125	125	125
ERX1227269	125	125	125
ERX1227270	125	125	125
ERX1227271	125	125	125
ERX1227272	125	125	125
ERX1227273	125	125	125
ERX1227274	125	125	125
ERX1227275	125	125	125
ERX1227276	125	125	125
ERX1227277	125	125	125
ERX1227278	125	125	125
ERX1227279	125	125	125
ERX1227280	125	125	125
ERX1227281	125	125	125
ERX1227282	125	125	125
ERX1227283	125	125	125
ERX1227284	125	125	125
ERX1227285	125	125	125
ERX1227286	125	125	125
ERX1227287	125	125	125
ERX1227288	125	125	125
ERX1227289	125	125	125
ERX1227290	125	125	125
ERX1227291	125	125	125
ERX1227292	125	125	125
ERX1227293	125	125	125
ERX1227294	125	125	125
ERX1227295	125	125	125
ERX1227296	125	125	125
ERX1227297	125	125	125
ERX1227298	125	125	125
ERX1227299	125	125	125
ERX1227300	125	125	125
ERX1227301	125	125	125
ERX1227302	125	125	125
ERX1227303	125	125	125
ERX1227304	125	125	125
ERX1227305	125	125	125
ERX1227306	125	125	125
ERX1227307	125	125	125
ERX1227308	125	125	125
ERX1227309	125	125	125
ERX1227310	125	125	125
ERX1227311	125	125	125
ERX1227312	125	125	125
ERX1227313	125	125	125
ERX1227314	125	125	125
ERX1227315	125	125	125
ERX1227316	125	125	125
ERX1227317	125	125	125
ERX1227318	125	125	125
ERX1227319	125	125	125
ERX1227320	125	125	125
ERX1227321	125	125	125
ERX1227322	125	125	125
ERX1227323	125	125	125
ERX1227324	125	125	125
ERX1227325	125	125	125
ERX1227326	125	125	125
ERX1227327	125	125	125
ERX1227328	125	125	125
ERX1227329	125	125	125
ERX1227330	125	125	125
ERX1227331	125	125	125
ERX1227332	125	125	125
ERX1227333	125	125	125
ERX1227334	125	125	125
ERX1227335	125	125	125
ERX1227336	125	125	125
ERX1227337	125	125	125
ERX1227338	125	125	125
ERX1227339	125	125	125
ERX1227340	125	125	125
ERX1227341	125	125	125
ERX1227342	125	125	125
ERX1227343	125	125	125
ERX1227344	125	125	125
ERX1227345	125	125	125
ERX1227346	125	125	125
ERX1227347	125	125	125
ERX1227348	125	125	125
ERX1227349	125	125	125
ERX1227350	125	125	125
ERX1227351	125	125	125
ERX1227352	125	125	125
ERX1227353	125	125	125
ERX1227354	125	125	125
ERX1227355	125	125	125
ERX1227356	125	125	125
ERX1227357	125	125	125
ERX1227358	125	125	125
ERX1227359	125	125	125
ERX1227360	125	125	125
ERX1227361	125	125	125
ERX1227362	125	125	125
ERX1227363	125	125	125
ERX1227364	125	125	125
ERX1227365	125	125	125
ERX1227366	125	125	125
ERX1227367	125	125	125
ERX1227368	125	125	125
ERX1227369	125	125	125
ERX1227370	125	125	125
ERX1227371	125	125	125
ERX1227372	125	125	125
ERX1227373	125	125	125
ERX1227374	125	125	125
ERX1227375	125	125	125
ERX1227376	125	125	125
ERX1227377	125	125	125
ERX1227378	125	125	125
ERX1227379	125	125	125
ERX1227380	125	125	125
ERX1227381	125	125	125
ERX1227382	125	125	125
ERX1227383	125	125	125
ERX1227384	125	125	125
ERX1227385	125	125	125
ERX1227386	125	125	125
ERX1227387	125	125	125
ERX1227388	125	125	125
ERX1227389	125	125	125
ERX1227390	125	125	125
ERX1227391	125	125	125
ERX1227392	125	125	125
ERX1227393	125	125	125
